metric,value
universe_firms,635
downloaded_tickers,635
download_pages_failed,0
tickers_complete_18_pages,635
master_rows,20320
master_firms,635
complete_case_rows_before_rules,15942
analysis_rows,14255
analysis_firms,578
analysis_periods,27
analysis_start,2018-Q1
analysis_end,2025-Q4
excluded_low_coverage_periods,"2024-Q2,2024-Q3,2024-Q4,2025-Q1,2025-Q2"
duplicate_ticker_period_rows,0
income_fallback_rows,2418
missing_master_roa,3862
missing_master_debt_to_assets,1484
missing_master_current_ratio,1969
missing_master_quick_ratio,1969
missing_master_asset_turnover,4000
missing_master_gross_margin,3423
missing_master_log_total_assets,1466
analysis_firms_HOSE,323
analysis_firms_HNX,255
