period,statement_firms,complete_case_firms,universe_firms,statement_coverage,complete_case_coverage,excluded_low_coverage
2018-Q1,635,481,635,1.0,0.75748031496063,False
2018-Q2,635,484,635,1.0,0.7622047244094489,False
2018-Q3,635,503,635,1.0,0.7921259842519685,False
2018-Q4,635,505,635,1.0,0.7952755905511811,False
2019-Q1,635,519,635,1.0,0.8173228346456692,False
2019-Q2,635,519,635,1.0,0.8173228346456692,False
2019-Q3,635,538,635,1.0,0.8472440944881889,False
2019-Q4,635,536,635,1.0,0.8440944881889764,False
2020-Q1,635,544,635,1.0,0.8566929133858268,False
2020-Q2,635,542,635,1.0,0.8535433070866142,False
2020-Q3,635,546,635,1.0,0.8598425196850393,False
2020-Q4,635,544,635,1.0,0.8566929133858268,False
2021-Q1,635,545,635,1.0,0.8582677165354331,False
2021-Q2,635,545,635,1.0,0.8582677165354331,False
2021-Q3,635,526,635,1.0,0.8283464566929134,False
2021-Q4,635,519,635,1.0,0.8173228346456692,False
2022-Q1,635,524,635,1.0,0.8251968503937008,False
2022-Q2,635,535,635,1.0,0.84251968503937,False
2022-Q3,635,542,635,1.0,0.8535433070866142,False
2022-Q4,635,559,635,1.0,0.8803149606299212,False
2023-Q1,635,570,635,1.0,0.8976377952755905,False
2023-Q2,635,572,635,1.0,0.9007874015748032,False
2023-Q3,635,580,635,1.0,0.9133858267716536,False
2023-Q4,635,570,635,1.0,0.8976377952755905,False
2024-Q1,635,566,635,1.0,0.8913385826771654,False
2024-Q2,635,286,635,1.0,0.4503937007874016,True
2024-Q3,635,287,635,1.0,0.4519685039370079,True
2024-Q4,635,286,635,1.0,0.4503937007874016,True
2025-Q1,635,281,635,1.0,0.44251968503937006,True
2025-Q2,635,277,635,1.0,0.43622047244094486,True
2025-Q3,635,558,635,1.0,0.878740157480315,False
2025-Q4,635,553,635,1.0,0.8708661417322835,False
