Lasso_theta,Lasso_se,Lasso_pval,Lasso_R2_y,Lasso_R2_d,Enet_theta,Enet_se,Enet_pval,Enet_mean_l1,RF_theta,RF_se,RF_pval,RF_R2_y,RF_R2_d,RF_RV,RF_RVa,Treatment,Model_Specification,Y_variable,N_obs
-0.060107298146376366,0.006639005924078791,1.3825562458986558e-19,0.2640314886958007,0.15259963340023727,-0.060618447180305526,0.006620288884394548,5.362490141531629e-20,0.28,-0.037682033037891895,0.005937212766801756,2.1990433901012768e-10,0.38758880830178377,0.35026949494198495,8.116855231543735,6.0296762623537425,td_a,Full Sample (One-way Cluster),roa,32029
-0.05814411710380552,0.011336515588547752,2.9140428199684723e-07,0.2457729521144991,0.15013995301796668,-0.05730054529136146,0.011747413051669008,1.0732126404373918e-06,0.10000000000000003,-0.03852173448469631,0.011877476541255757,0.0011817067305346222,0.38655042509941273,0.3480356111583161,8.263108196932171,4.127203658109315,td_a,Full Sample (Two-way Cluster),roa,32029
-0.04166620616660862,0.007462254190683556,2.355968108582908e-08,0.26909557313088356,0.10146149493856467,-0.04159687314061201,0.00736696505466298,1.638370077837633e-08,0.5166666666666666,-0.019583629320777868,0.005805045237947659,0.0007420468813021104,0.3913943135170785,0.22725513103758274,4.59518983165507,2.3816428435449097,td_a_lag,Lagged Treatment,roa,27525
0.00014796364692533994,0.0021123751027040515,0.944156963743676,0.2665114329244697,-9.240541894728338e-05,0.00019948251025627672,0.00211218036311952,0.92475655979038,0.1866666666666667,-0.0020589924983503913,0.0019394849069061628,0.2884090426722926,0.3849190833223497,-0.0013272589992940897,0.5684551744191881,0.00036005503488684674,td_a_placebo,Placebo (Permuted D),roa,32029
-0.06800309392089512,0.00881524736080761,1.2168793551901602e-14,0.2661270823760103,0.13633856123926583,-0.067768462138731,0.00885523937681523,1.9646207285397397e-14,0.22000000000000006,-0.04551932789650506,0.00805318212181366,1.5827760019055185e-08,0.38369064705882056,0.35481479616995076,9.417225160186584,6.65315219331181,td_a,Excluding UPCoM (HOSE+HNX only),roa,18829
-0.029494872317848617,0.006555745924113907,6.824587427418729e-06,0.3364080376261563,0.1560562071172116,-0.02963245993773345,0.006543698801855911,5.9433101047306215e-06,0.16000000000000006,-0.009164051778196057,0.005763069936802535,0.11180466893847019,0.5387420248669635,0.35031274444375127,2.3041300800760904,0.00044421711927512673,td_a,Operating ROA (EBIT/Assets),operating_roa,32029
-0.00998149576482072,0.024338760623390323,0.6817274681821934,0.37127012177252167,0.21292497222632048,-0.005285787236647788,0.02458981898226137,0.8297997811416542,0.39999999999999986,0.010119230672989862,0.017970604931772133,0.5733674342698778,0.5346503210461931,0.2556253796592369,2.5942968407856135,0.0003513690132161269,td_a,Subgroup: Large-Cap (Top 100),roa,2981
-0.06257672933564454,0.00685094381131904,6.599546521636841e-20,0.25641221686875676,0.1466277408100315,-0.06273603690002195,0.006892522092687757,8.86478000380595e-20,0.10000000000000003,-0.04038123101371181,0.00632251626008703,1.6929067224972266e-10,0.37149752166731265,0.3502883860731382,8.590433223000089,6.408885577323405,td_a,Subgroup: Mid/Small-Cap,roa,29048
-0.08509758518044898,0.0071089400587641665,5.072046975945529e-33,0.2643300345972583,0.08078616668218415,-0.08532412773067548,0.007072508544982183,1.6324929345035265e-33,0.2166666666666667,-0.05083890556595815,0.006130988611136226,1.1124573648382405e-16,0.38548823986414815,0.16930585837200626,10.639058638680709,8.522559159492925,ibd_a,Full Sample (One-way Cluster),roa,32029
-0.07807523975844835,0.012336474096362864,2.470540176192206e-10,0.24191483979983577,0.0718132216796169,-0.07909445911212194,0.012242734754703473,1.0434231550652947e-10,0.10000000000000003,-0.04900818387953765,0.010774252952335464,5.399405290672569e-06,0.38354664304630276,0.16545902941830679,10.29513119197041,6.587886454245999,ibd_a,Full Sample (Two-way Cluster),roa,32029
-0.08283775374312255,0.007585146882580493,9.143454772424673e-28,0.2703355399328225,0.07793730106066861,-0.08308699023882767,0.007606025101084515,8.866747653504079e-28,0.3333333333333333,-0.048200199185267766,0.006406750667109538,5.3392060601425404e-14,0.3912366830165844,0.15418559089632697,10.263337477315325,8.017296008870032,ibd_a_lag,Lagged Treatment,roa,27525
-0.0017398378184877996,0.0024766679564943643,0.4823727937043605,0.2665114329244697,-4.13295264645915e-05,-0.0016953950452213457,0.0024754016150706584,0.49340894337861874,0.1866666666666667,-0.0028369368224311145,0.0022230185405782074,0.20189745786024604,0.3849190833223497,-0.0019877568924165554,0.6840325310576734,0.0005615670728574899,ibd_a_placebo,Placebo (Permuted D),roa,32029
-0.09311420713817026,0.008724933854486418,1.3734100460019407e-26,0.2661270823760103,0.061595141008083644,-0.09325224668729226,0.008872254740811351,7.724455717094576e-26,0.22000000000000006,-0.05543251991588982,0.007391689764346025,6.415815288867355e-14,0.38369064705882056,0.14298708469505486,11.901003472333493,9.21465177238833,ibd_a,Excluding UPCoM (HOSE+HNX only),roa,18829
-0.04688444872201278,0.0071499763665886645,5.479541007688257e-11,0.3364080376261563,0.08191839652076609,-0.04695871123350843,0.007126345958540387,4.4145433872404545e-11,0.16000000000000006,-0.008939289144509754,0.005670768950433141,0.11493815782779328,0.5387420248669635,0.1661985794861007,2.222411150313696,0.0005986754390971606,ibd_a,Operating ROA (EBIT/Assets),operating_roa,32029
-0.05705888998356693,0.024806220326342044,0.021437754778633265,0.37127012177252167,0.0694538649118664,-0.06329153512792988,0.02505445345640703,0.011531725054102241,0.39999999999999986,-0.015793885760098107,0.014605991974765538,0.27955069858770343,0.5346503210461931,0.2313089903911675,3.7259387500633783,0.0005468969870819342,ibd_a,Subgroup: Large-Cap (Top 100),roa,2981
-0.08615642111616091,0.007429082611433612,4.258728110640713e-31,0.25641221686875676,0.07692107239978581,-0.08590744038949458,0.0074291085080640945,6.299074347222273e-31,0.10000000000000003,-0.051348744238867726,0.006473063446674135,2.144656611492721e-15,0.37149752166731265,0.15653684472282736,10.700967950624543,8.479272405556515,ibd_a,Subgroup: Mid/Small-Cap,roa,29048
,,,,,,,,,0.004483247049411166,0.02188499857941088,0.837685569076702,,,,,td_a,Quadratic DML (Linear),roa,32029
,,,,,,,,,-0.03683262470419642,0.020436232567502346,0.07149511963732065,,,,,td_a_sq,Quadratic DML (Quadratic),roa,32029
,,,,,,,,,-0.021678511121752717,0.01437173775502252,0.13144894581114558,,,,,ibd_a,Quadratic DML (Linear),roa,32029
,,,,,,,,,-0.03681810809677337,0.020729871639206168,0.07571816070532901,,,,,ibd_a_sq,Quadratic DML (Quadratic),roa,32029
