Treatment,seed,theta,se,pval,ci_low,ci_high
td_a,42,-0.03774842679982628,0.0062106030662595285,1.2164417620882404e-09,-0.049920985131968985,-0.02557586846768358
td_a,123,-0.03747826826322231,0.006060943079337619,6.266776390624652e-10,-0.04935749841107133,-0.02559903811537328
td_a,456,-0.03797371720761621,0.006147589451428804,6.532722699453672e-10,-0.05002277112415501,-0.02592466329107741
td_a,789,-0.036314859583352226,0.006046568756621369,1.903176201172149e-09,-0.04816591657637524,-0.02446380259032921
td_a,2024,-0.03681293221842331,0.006022357566582765,9.795257681144995e-10,-0.048616536150947805,-0.02500932828589881
ibd_a,42,-0.050337262742401856,0.0061157502746373655,1.8603189228229383e-16,-0.06232391301913204,-0.038350612465671674
ibd_a,123,-0.049913376226399624,0.006157572144735672,5.230670693394992e-16,-0.06183250705060571,-0.03784475778153132
ibd_a,456,-0.050878670512359545,0.006098759307456014,7.275927614722278e-17,-0.0629782218069107,-0.03892531939789278
ibd_a,789,-0.051196737863129164,0.006101993274727333,4.85455298910765e-17,-0.06315642491550036,-0.03923705081075797
ibd_a,2024,-0.050445157730309505,0.006170396382643604,2.9500520387184116e-16,-0.0625389124106272,-0.03835140304999181
