period,metric,matched_firms,pearson_correlation,median_abs_diff,p90_abs_diff,median_symmetric_pct_diff,within_tolerance_share
2021-Q1,asset_turnover,57,0.9891334238739837,0.01461762045782089,0.10987273424233802,0.029209867136305138,0.7543859649122807
2021-Q1,current_ratio,60,0.9998687205833101,2.7465258956027583e-09,9.456283533992866e-08,1.124597014886707e-09,0.95
2021-Q1,debt_to_assets,60,0.999323419372611,4.807760474456746e-10,8.704809625892377e-09,2.1945634972964865e-09,0.95
2021-Q1,gross_margin,57,0.9943886122901063,1.8947339919250794e-08,0.00891276059351766,4.125569589102269e-08,0.9122807017543859
2021-Q1,quick_ratio,60,0.9999036646781907,3.5164687550715e-09,8.660068715471426e-08,3.5830677922133484e-09,0.9833333333333333
2021-Q1,roa,57,0.9934513303575604,0.001509242257320395,0.007636886249148943,0.042171031040489845,0.8421052631578947
2021-Q2,asset_turnover,27,0.9926016793311299,0.024011917596117982,0.2745936450265227,0.03300933268811185,0.7037037037037037
2021-Q2,current_ratio,30,0.8800080698706038,0.005164273983400469,0.44621151948010485,0.0027446503197871685,0.6333333333333333
2021-Q2,debt_to_assets,30,0.9755229059638878,0.0038819526722384257,0.0990642995460338,0.01607577049608222,0.6
2021-Q2,gross_margin,28,0.9913823889119227,0.0008202380983891554,0.028529720994927683,0.008630302915396086,0.75
2021-Q2,quick_ratio,30,0.8567263591273307,0.0074973104793806256,0.30362644333648897,0.004754764923777728,0.6666666666666666
2021-Q2,roa,27,0.9852647188756251,0.0021684301387735003,0.017874392426352564,0.06442308829293339,0.6666666666666666
