seed,theta,se,pvalue,ci_lower,ci_upper
1,0.032528743277571895,0.014805647094864652,0.028016893182051722,0.003510208203827095,0.061547278351316695
2,0.03341886597522351,0.014472727154748132,0.020938447910687306,0.005352887404373001,0.061784878515879126
3,0.030626184573477225,0.014861681472705624,0.03932706073797479,0.0014978241372680112,0.05975454500968644
4,0.03456903105394309,0.0152535025680716,0.023432948492346114,0.00467271538243353,0.06446534672545265
5,0.03411639909191257,0.014856133634122809,0.02165004568877351,0.0058664356835201326,0.06323388596430743
6,0.03529214630436556,0.014878756357123319,0.0176929396253514,0.00613031970965747,0.06445397289907365
7,0.033465446682409195,0.014081176463300538,0.017472611783146835,0.0058668479543870465,0.06106404541043134
8,0.03367259873034413,0.01446044303267148,0.019880225423239563,0.005867437172723554,0.06201454130535963
9,0.03096761712581283,0.014177787067737422,0.028944992640358342,0.0031796650925697383,0.058755569159055915
10,0.03285018900522821,0.014468710704850656,0.023181530456172286,0.004492037120991783,0.061208340889464634
11,0.034358396362748185,0.014444911115342374,0.017379401055904308,0.006046890816794822,0.06266990190870154
12,0.03493870091690061,0.014572631760192524,0.016504857237707497,0.00637686750695873,0.06350053432684248
13,0.03258817028688243,0.014309985589792434,0.022768149710436437,0.005185298625237415,0.06063522666216277
14,0.033245505918415415,0.013919802398316203,0.016923732879313834,0.005963194545801392,0.060527817291029434
15,0.03543568284949829,0.01506263564160166,0.018644918695999484,0.005913459479709667,0.0649579062192869
16,0.0369881913046865,0.01499225205876099,0.013619185514837609,0.007362155241393654,0.06637248048670653
17,0.035585128576526875,0.014971403381391078,0.01746008548733413,0.006241717150979181,0.06492854000207457
18,0.03247080653227347,0.014792932732979254,0.028162050012425645,0.004390439013143531,0.061464420293355145
19,0.034159998967973414,0.014874023661468448,0.0216403847478573,0.005007448286298673,0.06331254964964815
20,0.03446877688124484,0.014860490628698339,0.02036841904467872,0.0050357391436392195,0.06359479160177381
21,0.03389419935453074,0.014413674176628104,0.018696339657977644,0.005643917083444638,0.06214448162561684
22,0.03364126397078568,0.014027587450977892,0.016474892495300264,0.006147697776882989,0.06113483016468837
23,0.03552191853622971,0.01457898954956577,0.014829577413955335,0.006701940911742588,0.06409621804371209
24,0.031105388259993275,0.014300036892165257,0.02961540450704465,0.0030778309737552814,0.05913294554623127
25,0.03228885773735991,0.014341344322602293,0.02435688241117181,0.004180339375171441,0.060397376099548386
26,0.03463109581509794,0.01540900539346755,0.02461075789938657,0.005712650023816185,0.06483219142387778
27,0.034249630920248436,0.01538409192462462,0.02599397570928428,0.004767799107174949,0.06440189702736618
28,0.036798227163080406,0.014403347180459136,0.010623705006829713,0.008404664297964954,0.06502826889360686
29,0.03446748303131424,0.014379156109980942,0.016527897607099933,0.005929375495542566,0.06265011113495596
30,0.03727116766473405,0.014696124181559966,0.01120875944402995,0.007072049407217274,0.06607504177291976
